Name,DataCount
EMMETT CITY,4
MOSCOW CITY,4
FILER CITY,4
SPIRIT LAKE CITY,4
SODA SPRINGS CITY,4
ST MARIES CITY,4
ST ANTHONY CITY,4
CASCADE CITY,4
COEUR D ALENE CITY,4
WILDER CITY,4
AMERICAN FALLS CITY,4
WENDELL CITY,4
WEISER CITY,4
BELLEVUE CITY,4
BLACKFOOT CITY,4
COTTONWOOD CITY,4
BOISE CITY,4
TWIN FALLS CITY,4
BUHL CITY,4
CALDWELL CITY,4
SHOSHONE CITY,4
CHUBBUCK CITY,4
SUN VALLEY CITY,4
BONNERS FERRY CITY,4
SHELLEY CITY,4
GARDEN CITY,4
SALMON CITY,4
NAMPA CITY,4
MONTPELIER CITY,4
MERIDIAN CITY,4
MCCALL CITY,4
LEWISTON CITY,4
KIMBERLY CITY,4
OROFINO CITY,4
OSBURN CITY,4
KETCHUM CITY,4
KELLOGG CITY,4
KAMIAH CITY,4
JEROME CITY,4
PARMA CITY,4
IDAHO FALLS CITY,4
SANDPOINT CITY,4
PAYETTE CITY,4
PINEHURST CITY,4
HEYBURN CITY,4
HAILEY CITY,4
POCATELLO CITY,4
PONDERAY CITY,4
POST FALLS CITY,4
PRESTON CITY,4
GRANGEVILLE CITY,4
REXBURG CITY,4
RIGBY CITY,4
GOODING CITY,4
MOUNTAIN HOME CITY,4
FRUITLAND CITY,4
RUPERT CITY,4
HOMEDALE CITY,4
ABERDEEN CITY,4
